팩토링ID,채권ID,법인명,고객ID,통화,팩토링사,팩토링실행일,팩토링금액,수수료율,실수령액,상환유형
FT0476,AR0635,베트남법인,OC062,VND,HSBC Trade Finance,2025-06-23,986057.15,0.0152,971069.08,소구
FT0477,AR0636,베트남법인,OC062,VND,우리은행 무역금융,2025-04-07,2237171.63,0.0328,2163792.4,비소구
FT0478,AR0637,베트남법인,OC062,VND,신한팩토링,2025-06-22,1194211.88,0.0392,1147398.77,비소구
FT0479,AR0638,베트남법인,OC062,VND,우리은행 무역금융,2025-07-09,535850.98,0.0373,515863.74,비소구
FT0480,AR0639,베트남법인,OC062,VND,우리은행 무역금융,2025-04-27,775653.56,0.038,746178.72,소구
FT0481,AR0640,베트남법인,OC062,VND,IBK기업은행,2025-06-20,1088237.76,0.0287,1057005.34,소구
FT0482,AR0641,중국법인,OC063,CNY,HSBC Trade Finance,2025-05-07,654338.2,0.0185,642232.94,비소구
FT0483,AR0642,중국법인,OC063,CNY,IBK기업은행,2025-03-31,117182.83,0.0386,112659.57,소구
FT0484,AR0643,중국법인,OC063,CNY,우리은행 무역금융,2025-07-18,620256.73,0.0284,602641.44,소구
FT0485,AR0644,중국법인,OC063,CNY,신한팩토링,2025-08-22,294635.24,0.0207,288536.29,비소구
FT0486,AR0646,중국법인,OC063,CNY,BNP Paribas Factor,2025-01-20,1208806.92,0.0263,1177015.3,소구
FT0487,AR0647,중국법인,OC063,CNY,우리은행 무역금융,2025-03-23,781052.29,0.0367,752387.67,소구
FT0488,AR0648,중국법인,OC063,CNY,HSBC Trade Finance,2025-06-07,523057.8,0.0318,506424.56,비소구
FT0489,AR0649,중국법인,OC063,CNY,IBK기업은행,2025-03-17,377552.77,0.0402,362375.15,소구
FT0490,AR0651,중국법인,OC063,CNY,신한팩토링,2025-02-14,1110582.9,0.0173,1091369.82,비소구
FT0491,AR0653,중국법인,OC063,CNY,HSBC Trade Finance,2025-02-25,388497.71,0.0397,373074.35,소구
FT0492,AR0654,싱가포르법인,OC064,SGD,우리은행 무역금융,2025-04-25,55049.12,0.0432,52671.0,비소구
FT0493,AR0655,싱가포르법인,OC064,SGD,우리은행 무역금융,2025-01-29,77309.85,0.0418,74078.3,비소구
FT0494,AR0656,싱가포르법인,OC064,SGD,우리은행 무역금융,2025-07-20,49137.06,0.0249,47913.55,소구
FT0495,AR0657,싱가포르법인,OC064,SGD,IBK기업은행,2025-03-23,21395.38,0.0396,20548.12,소구
FT0496,AR0658,싱가포르법인,OC064,SGD,우리은행 무역금융,2025-03-24,9068.23,0.0439,8670.13,소구
FT0497,AR0662,싱가포르법인,OC064,SGD,BNP Paribas Factor,2025-06-06,63079.59,0.0251,61496.29,소구
FT0498,AR0663,싱가포르법인,OC064,SGD,HSBC Trade Finance,2025-03-05,46591.13,0.0408,44690.21,소구
FT0499,AR0665,베트남법인,OC065,VND,BNP Paribas Factor,2025-03-16,351235.83,0.0288,341120.24,소구
FT0500,AR0666,베트남법인,OC065,VND,IBK기업은행,2025-04-21,971105.98,0.0331,938962.37,소구
FT0501,AR0667,베트남법인,OC065,VND,신한팩토링,2025-02-03,1134169.46,0.0215,1109784.82,소구
FT0502,AR0668,베트남법인,OC065,VND,신한팩토링,2025-02-10,295573.34,0.0277,287385.96,비소구
FT0503,AR0672,베트남법인,OC065,VND,IBK기업은행,2025-07-03,801565.64,0.0165,788339.81,소구
FT0504,AR0672,베트남법인,OC065,VND,IBK기업은행,2025-07-09,363888.56,0.0352,351079.68,소구
FT0505,AR0673,베트남법인,OC065,VND,우리은행 무역금융,2025-07-29,1847576.0,0.0315,1789377.36,소구
FT0506,AR0674,베트남법인,OC065,VND,BNP Paribas Factor,2025-04-16,138091.27,0.0397,132609.05,소구
FT0507,AR0674,베트남법인,OC065,VND,신한팩토링,2025-04-21,82252.94,0.0245,80237.74,비소구
FT0508,AR0675,싱가포르법인,OC066,SGD,HSBC Trade Finance,2025-05-31,32335.95,0.0422,30971.37,소구
FT0509,AR0675,싱가포르법인,OC066,SGD,BNP Paribas Factor,2025-05-29,21099.65,0.0184,20711.42,비소구
FT0510,AR0677,싱가포르법인,OC066,SGD,IBK기업은행,2025-05-18,15466.65,0.0301,15001.1,소구
FT0511,AR0678,싱가포르법인,OC066,SGD,신한팩토링,2025-07-25,38449.18,0.016,37833.99,비소구
FT0512,AR0680,싱가포르법인,OC066,SGD,HSBC Trade Finance,2025-05-10,21850.04,0.0219,21371.52,비소구
FT0513,AR0681,싱가포르법인,OC066,SGD,BNP Paribas Factor,2025-01-25,88415.48,0.0291,85842.59,소구
FT0514,AR0682,싱가포르법인,OC066,SGD,신한팩토링,2025-07-14,92712.6,0.0324,89708.71,소구
FT0515,AR0683,싱가포르법인,OC066,SGD,IBK기업은행,2025-08-05,115738.82,0.0444,110600.02,소구
FT0516,AR0684,싱가포르법인,OC067,SGD,우리은행 무역금융,2025-07-27,102713.57,0.0339,99231.58,소구
FT0517,AR0685,싱가포르법인,OC067,SGD,HSBC Trade Finance,2025-08-24,15837.82,0.0232,15470.38,비소구
FT0518,AR0685,싱가포르법인,OC067,SGD,IBK기업은행,2025-08-20,9654.78,0.0327,9339.07,비소구
FT0519,AR0688,싱가포르법인,OC067,SGD,우리은행 무역금융,2025-03-18,71690.24,0.029,69611.22,소구
FT0520,AR0692,싱가포르법인,OC067,SGD,우리은행 무역금융,2025-03-28,7477.16,0.0256,7285.74,비소구
FT0521,AR0692,싱가포르법인,OC067,SGD,HSBC Trade Finance,2025-03-15,5855.56,0.0421,5609.04,소구
FT0522,AR0695,싱가포르법인,OC067,SGD,IBK기업은행,2025-04-07,62625.55,0.0168,61573.44,소구
FT0523,AR0697,미국법인,OC068,USD,신한팩토링,2025-03-28,48518.66,0.0262,47247.47,소구
FT0524,AR0699,미국법인,OC068,USD,IBK기업은행,2025-01-11,53990.84,0.0271,52527.69,소구
FT0525,AR0700,미국법인,OC068,USD,BNP Paribas Factor,2025-03-12,61109.38,0.0446,58383.9,소구
FT0526,AR0701,미국법인,OC068,USD,IBK기업은행,2025-02-23,17219.55,0.0437,16467.06,비소구
FT0527,AR0703,중국법인,OC069,CNY,HSBC Trade Finance,2025-03-10,1405943.51,0.0182,1380355.34,소구
FT0528,AR0704,중국법인,OC069,CNY,신한팩토링,2025-05-07,444537.19,0.0394,427022.42,비소구
FT0529,AR0707,중국법인,OC069,CNY,HSBC Trade Finance,2025-03-23,734606.82,0.0245,716608.95,비소구
FT0530,AR0710,중국법인,OC069,CNY,신한팩토링,2025-07-05,1932841.72,0.0153,1903269.24,소구
FT0531,AR0711,중국법인,OC069,CNY,신한팩토링,2025-08-13,978543.27,0.0164,962495.16,소구
FT0532,AR0712,베트남법인,OC070,VND,HSBC Trade Finance,2025-01-15,1700376.57,0.0333,1643754.03,비소구
FT0533,AR0714,베트남법인,OC070,VND,우리은행 무역금융,2025-04-15,720999.64,0.0444,688987.26,비소구
FT0534,AR0716,베트남법인,OC070,VND,신한팩토링,2025-06-07,2132679.63,0.0238,2081921.85,비소구
FT0535,AR0717,베트남법인,OC070,VND,HSBC Trade Finance,2025-06-20,1370682.87,0.0274,1333126.16,소구
FT0536,AR0718,베트남법인,OC070,VND,신한팩토링,2025-02-09,1931206.46,0.0211,1890458.0,비소구
FT0537,AR0719,베트남법인,OC070,VND,IBK기업은행,2025-04-05,1604660.15,0.02,1572566.95,소구
FT0538,AR0720,베트남법인,OC070,VND,IBK기업은행,2025-04-15,2315225.96,0.0319,2241370.25,소구
FT0539,AR0721,베트남법인,OC070,VND,IBK기업은행,2025-03-06,1391473.53,0.0298,1350007.62,소구
FT0540,AR0722,베트남법인,OC070,VND,우리은행 무역금융,2025-02-23,1445656.97,0.0199,1416888.4,소구
FT0541,AR0723,베트남법인,OC070,VND,HSBC Trade Finance,2025-05-04,788364.46,0.0401,756751.05,소구
FT0542,AR0723,베트남법인,OC070,VND,HSBC Trade Finance,2025-04-27,302337.31,0.0253,294688.18,비소구
FT0543,AR0724,베트남법인,OC070,VND,우리은행 무역금융,2025-08-18,1657146.0,0.0269,1612568.77,비소구
FT0544,AR0725,베트남법인,OC070,VND,BNP Paribas Factor,2025-02-28,169521.84,0.0281,164758.28,비소구
FT0545,AR0727,베트남법인,OC071,VND,IBK기업은행,2025-04-08,923447.93,0.0332,892789.46,소구
FT0546,AR0727,베트남법인,OC071,VND,신한팩토링,2025-04-06,931946.07,0.0366,897836.84,비소구
FT0547,AR0728,베트남법인,OC071,VND,우리은행 무역금융,2025-08-01,883919.77,0.0429,845999.61,비소구
FT0548,AR0729,베트남법인,OC071,VND,IBK기업은행,2025-08-13,305760.6,0.0448,292062.53,비소구
FT0549,AR0731,베트남법인,OC071,VND,HSBC Trade Finance,2025-06-21,625924.0,0.0163,615721.44,비소구
FT0550,AR0731,베트남법인,OC071,VND,BNP Paribas Factor,2025-06-24,475969.8,0.0438,455122.32,소구
FT0551,AR0732,베트남법인,OC071,VND,우리은행 무역금융,2025-02-02,159691.57,0.0262,155507.65,소구
FT0552,AR0734,베트남법인,OC071,VND,BNP Paribas Factor,2025-07-25,525965.74,0.0264,512080.24,비소구
FT0553,AR0735,베트남법인,OC071,VND,우리은행 무역금융,2025-07-06,2067536.96,0.0268,2012126.97,비소구
FT0554,AR0736,중국법인,OC072,CNY,IBK기업은행,2025-06-04,2493109.07,0.0211,2440504.47,소구
FT0555,AR0737,중국법인,OC072,CNY,IBK기업은행,2025-07-28,2403307.58,0.0201,2355001.1,소구
FT0556,AR0738,중국법인,OC072,CNY,BNP Paribas Factor,2025-08-08,2316421.57,0.0314,2243685.93,비소구
FT0557,AR0740,중국법인,OC072,CNY,BNP Paribas Factor,2025-02-02,1162551.93,0.0443,1111050.88,비소구
FT0558,AR0741,중국법인,OC072,CNY,BNP Paribas Factor,2025-05-05,1026692.03,0.0374,988293.75,소구
FT0559,AR0742,중국법인,OC072,CNY,BNP Paribas Factor,2025-01-27,1718091.15,0.0305,1665689.37,비소구
FT0560,AR0743,중국법인,OC072,CNY,우리은행 무역금융,2025-02-13,1228935.78,0.0184,1206323.36,비소구
FT0561,AR0744,중국법인,OC072,CNY,우리은행 무역금융,2025-08-02,1459575.45,0.0312,1414036.7,비소구
FT0562,AR0745,중국법인,OC072,CNY,IBK기업은행,2025-06-28,1147521.14,0.02,1124570.72,소구
FT0563,AR0746,중국법인,OC072,CNY,IBK기업은행,2025-06-05,249855.67,0.0219,244383.83,소구
FT0564,AR0748,중국법인,OC072,CNY,BNP Paribas Factor,2025-06-05,86863.89,0.0282,84414.33,비소구
FT0565,AR0749,중국법인,OC072,CNY,우리은행 무역금융,2025-03-07,190377.29,0.0398,182800.27,소구
FT0566,AR0750,베트남법인,OC073,VND,신한팩토링,2025-04-26,2355001.89,0.0277,2289768.34,비소구
FT0567,AR0751,베트남법인,OC073,VND,IBK기업은행,2025-05-08,209951.38,0.04,201553.32,비소구
FT0568,AR0751,베트남법인,OC073,VND,IBK기업은행,2025-05-16,116831.65,0.0321,113081.35,소구
FT0569,AR0752,베트남법인,OC073,VND,신한팩토링,2025-03-18,1165938.18,0.0156,1147749.54,소구
FT0570,AR0753,베트남법인,OC073,VND,IBK기업은행,2025-06-06,504961.95,0.0389,485318.93,소구
FT0571,AR0754,베트남법인,OC073,VND,BNP Paribas Factor,2025-05-12,611269.49,0.0398,586940.96,소구
FT0572,AR0755,베트남법인,OC073,VND,BNP Paribas Factor,2025-02-19,431581.67,0.038,415181.57,비소구
FT0573,AR0757,베트남법인,OC074,VND,우리은행 무역금융,2025-02-10,2846188.62,0.0347,2747425.87,소구
FT0574,AR0758,베트남법인,OC074,VND,IBK기업은행,2025-05-10,993909.95,0.0414,952762.08,비소구
FT0575,AR0760,베트남법인,OC074,VND,신한팩토링,2025-04-06,783997.69,0.0403,752402.58,비소구
FT0576,AR0761,베트남법인,OC074,VND,우리은행 무역금융,2025-03-31,2547465.79,0.0322,2465437.39,소구
FT0577,AR0763,베트남법인,OC074,VND,HSBC Trade Finance,2025-03-20,2022773.43,0.0357,1950560.42,소구
FT0578,AR0764,베트남법인,OC075,VND,IBK기업은행,2025-04-15,252946.86,0.0413,242500.15,비소구
FT0579,AR0765,베트남법인,OC075,VND,우리은행 무역금융,2025-07-25,597992.97,0.0392,574551.65,소구
FT0580,AR0765,베트남법인,OC075,VND,신한팩토링,2025-07-13,183156.26,0.0286,177917.99,소구
FT0581,AR0767,베트남법인,OC075,VND,HSBC Trade Finance,2025-07-16,64307.92,0.0167,63233.98,소구
FT0582,AR0768,베트남법인,OC075,VND,우리은행 무역금융,2025-05-19,532491.4,0.0357,513481.46,소구
FT0583,AR0769,베트남법인,OC075,VND,HSBC Trade Finance,2025-06-30,2500566.21,0.0157,2461307.32,소구
FT0584,AR0772,베트남법인,OC075,VND,HSBC Trade Finance,2025-02-16,396594.85,0.0408,380413.78,소구
FT0585,AR0772,베트남법인,OC075,VND,BNP Paribas Factor,2025-02-08,432627.88,0.0441,413548.99,소구
FT0586,AR0773,베트남법인,OC075,VND,신한팩토링,2025-08-17,266161.16,0.0259,259267.59,소구
FT0587,AR0774,베트남법인,OC075,VND,우리은행 무역금융,2025-05-08,1558698.54,0.0336,1506326.27,소구
FT0588,AR0775,독일법인,OC076,EUR,신한팩토링,2025-04-10,51864.58,0.0339,50106.37,소구
FT0589,AR0776,독일법인,OC076,EUR,HSBC Trade Finance,2025-07-05,3486.25,0.0195,3418.27,소구
FT0590,AR0776,독일법인,OC076,EUR,우리은행 무역금융,2025-07-01,1966.67,0.0251,1917.31,비소구
FT0591,AR0780,독일법인,OC076,EUR,우리은행 무역금융,2025-06-21,54418.9,0.0291,52835.31,소구
FT0592,AR0781,독일법인,OC076,EUR,IBK기업은행,2025-06-04,19765.79,0.0194,19382.33,비소구
FT0593,AR0782,독일법인,OC076,EUR,IBK기업은행,2025-06-17,64350.68,0.035,62098.41,소구
FT0594,AR0785,미국법인,OC077,USD,신한팩토링,2025-01-19,6765.6,0.0436,6470.62,소구
FT0595,AR0786,미국법인,OC077,USD,IBK기업은행,2025-08-21,74486.0,0.0203,72973.93,비소구
FT0596,AR0787,미국법인,OC077,USD,HSBC Trade Finance,2025-02-08,42837.04,0.0387,41179.25,소구
FT0597,AR0788,미국법인,OC077,USD,신한팩토링,2025-08-12,31342.91,0.041,30057.85,소구
FT0598,AR0789,미국법인,OC077,USD,신한팩토링,2025-07-26,24282.02,0.0307,23536.56,비소구
FT0599,AR0790,미국법인,OC077,USD,HSBC Trade Finance,2025-08-28,94190.89,0.0391,90508.03,비소구
FT0600,AR0791,미국법인,OC077,USD,IBK기업은행,2025-01-31,100932.04,0.0328,97621.47,비소구
FT0601,AR0792,미국법인,OC077,USD,신한팩토링,2025-07-12,12812.44,0.024,12504.94,비소구
FT0602,AR0793,미국법인,OC077,USD,신한팩토링,2025-04-01,23230.11,0.024,22672.59,소구
FT0603,AR0794,미국법인,OC077,USD,HSBC Trade Finance,2025-04-20,3211.58,0.0267,3125.83,비소구
FT0604,AR0795,싱가포르법인,OC078,SGD,HSBC Trade Finance,2025-03-19,38766.17,0.0415,37157.37,비소구
FT0605,AR0796,싱가포르법인,OC078,SGD,우리은행 무역금융,2025-06-12,62233.45,0.0301,60360.22,비소구
FT0606,AR0797,싱가포르법인,OC078,SGD,우리은행 무역금융,2025-03-16,15741.06,0.0411,15094.1,소구
FT0607,AR0798,싱가포르법인,OC078,SGD,신한팩토링,2025-01-12,33438.1,0.0442,31960.14,소구
FT0608,AR0799,싱가포르법인,OC078,SGD,신한팩토링,2025-06-04,85861.56,0.0247,83740.78,소구
FT0609,AR0801,싱가포르법인,OC078,SGD,IBK기업은행,2025-06-16,41730.37,0.0383,40132.1,비소구
FT0610,AR0802,싱가포르법인,OC078,SGD,BNP Paribas Factor,2025-01-26,35488.82,0.0364,34197.03,소구
FT0611,AR0803,싱가포르법인,OC078,SGD,BNP Paribas Factor,2025-05-10,74393.09,0.0377,71588.47,소구
FT0612,AR0804,싱가포르법인,OC078,SGD,우리은행 무역금융,2025-08-24,79857.31,0.0384,76790.79,비소구
FT0613,AR0805,싱가포르법인,OC078,SGD,신한팩토링,2025-06-26,25592.96,0.0201,25078.54,비소구
FT0614,AR0807,싱가포르법인,OC078,SGD,우리은행 무역금융,2025-06-04,92189.27,0.0379,88695.3,비소구
FT0615,AR0808,싱가포르법인,OC078,SGD,HSBC Trade Finance,2025-02-15,11518.46,0.0175,11316.89,소구
FT0616,AR0809,미국법인,OC079,USD,BNP Paribas Factor,2025-06-12,47166.53,0.018,46317.53,소구
FT0617,AR0810,미국법인,OC079,USD,우리은행 무역금융,2025-08-08,20665.25,0.0172,20309.81,비소구
FT0618,AR0810,미국법인,OC079,USD,신한팩토링,2025-08-10,19185.57,0.039,18437.33,비소구
FT0619,AR0813,미국법인,OC079,USD,IBK기업은행,2025-04-02,54088.43,0.0332,52292.69,소구
FT0620,AR0814,미국법인,OC079,USD,신한팩토링,2025-05-29,103921.9,0.0258,101240.71,소구
FT0621,AR0815,미국법인,OC079,USD,HSBC Trade Finance,2025-06-25,50339.79,0.0239,49136.67,비소구
FT0622,AR0815,미국법인,OC079,USD,우리은행 무역금융,2025-06-21,18565.56,0.0379,17861.93,소구
FT0623,AR0817,미국법인,OC079,USD,IBK기업은행,2025-02-27,9487.68,0.0182,9315.0,비소구
FT0624,AR0820,미국법인,OC079,USD,BNP Paribas Factor,2025-05-08,82641.89,0.0386,79451.91,비소구
FT0625,AR0822,독일법인,OC080,EUR,IBK기업은행,2025-05-08,78248.51,0.0329,75674.13,비소구
FT0626,AR0826,독일법인,OC080,EUR,BNP Paribas Factor,2025-05-27,45487.11,0.0439,43490.23,비소구
FT0627,AR0828,싱가포르법인,OC081,SGD,BNP Paribas Factor,2025-03-15,54279.2,0.0305,52623.68,비소구
FT0628,AR0832,싱가포르법인,OC081,SGD,우리은행 무역금융,2025-05-04,38671.08,0.0313,37460.68,비소구
FT0629,AR0835,미국법인,OC082,USD,BNP Paribas Factor,2025-03-13,43556.31,0.0372,41936.02,비소구
FT0630,AR0837,미국법인,OC082,USD,BNP Paribas Factor,2025-08-13,30119.08,0.0346,29076.96,비소구
FT0631,AR0838,미국법인,OC082,USD,신한팩토링,2025-05-31,8874.93,0.0161,8732.04,비소구
FT0632,AR0839,미국법인,OC082,USD,우리은행 무역금융,2025-04-06,16904.38,0.0396,16234.97,소구
FT0633,AR0839,미국법인,OC082,USD,우리은행 무역금융,2025-04-14,8522.17,0.0384,8194.92,소구
FT0634,AR0841,미국법인,OC082,USD,우리은행 무역금융,2025-04-16,59617.26,0.0287,57906.24,비소구
FT0635,AR0842,미국법인,OC082,USD,BNP Paribas Factor,2025-07-14,3982.91,0.0339,3847.89,비소구
FT0636,AR0843,미국법인,OC083,USD,신한팩토링,2025-06-11,90661.86,0.0395,87080.72,비소구
FT0637,AR0844,미국법인,OC083,USD,신한팩토링,2025-04-24,67203.27,0.0375,64683.15,소구
FT0638,AR0845,미국법인,OC083,USD,우리은행 무역금융,2025-05-10,95120.33,0.0259,92656.71,소구
FT0639,AR0846,미국법인,OC083,USD,신한팩토링,2025-05-14,22119.62,0.0268,21526.81,비소구
FT0640,AR0847,미국법인,OC083,USD,우리은행 무역금융,2025-02-02,8070.24,0.0274,7849.12,비소구
FT0641,AR0850,미국법인,OC083,USD,BNP Paribas Factor,2025-05-08,2632.69,0.0399,2527.65,비소구
FT0642,AR0850,미국법인,OC083,USD,IBK기업은행,2025-05-01,2612.23,0.0338,2523.94,비소구
FT0643,AR0851,미국법인,OC083,USD,BNP Paribas Factor,2025-03-06,41996.68,0.0333,40598.19,소구
FT0644,AR0852,중국법인,OC084,CNY,IBK기업은행,2025-06-08,1764171.2,0.0245,1720949.01,소구
FT0645,AR0853,중국법인,OC084,CNY,BNP Paribas Factor,2025-01-25,1139780.55,0.0262,1109918.3,소구
FT0646,AR0854,중국법인,OC084,CNY,BNP Paribas Factor,2025-05-29,682296.4,0.0427,653162.34,소구
FT0647,AR0855,중국법인,OC084,CNY,BNP Paribas Factor,2025-01-20,566759.65,0.0367,545959.57,비소구
FT0648,AR0856,중국법인,OC084,CNY,신한팩토링,2025-08-03,811305.99,0.029,787778.12,소구
FT0649,AR0856,중국법인,OC084,CNY,신한팩토링,2025-08-05,577693.78,0.0266,562327.13,비소구
FT0650,AR0859,중국법인,OC084,CNY,신한팩토링,2025-07-01,2016269.62,0.0158,1984412.56,비소구
FT0651,AR0864,독일법인,OC085,EUR,BNP Paribas Factor,2025-06-07,2892.49,0.0413,2773.03,소구
FT0652,AR0865,독일법인,OC085,EUR,IBK기업은행,2025-01-23,70205.49,0.0291,68162.51,소구
FT0653,AR0866,독일법인,OC085,EUR,IBK기업은행,2025-03-30,58395.57,0.0202,57215.98,소구
FT0654,AR0867,독일법인,OC085,EUR,HSBC Trade Finance,2025-01-26,73093.55,0.0426,69979.76,비소구
FT0655,AR0868,독일법인,OC085,EUR,BNP Paribas Factor,2025-02-23,31171.31,0.0304,30223.7,비소구
FT0656,AR0869,독일법인,OC085,EUR,IBK기업은행,2025-02-28,16440.26,0.0239,16047.34,비소구
FT0657,AR0870,독일법인,OC085,EUR,BNP Paribas Factor,2025-05-20,42794.24,0.0184,42006.83,소구
FT0658,AR0871,독일법인,OC085,EUR,IBK기업은행,2025-04-21,21953.59,0.0208,21496.96,소구
FT0659,AR0872,독일법인,OC085,EUR,IBK기업은행,2025-05-21,17069.77,0.0176,16769.34,소구
FT0660,AR0873,중국법인,OC086,CNY,IBK기업은행,2025-03-03,524223.73,0.0364,505141.99,소구
FT0661,AR0874,중국법인,OC086,CNY,HSBC Trade Finance,2025-04-22,1215859.1,0.0425,1164185.09,소구
FT0662,AR0874,중국법인,OC086,CNY,IBK기업은행,2025-04-17,500885.41,0.0156,493071.6,소구
FT0663,AR0875,중국법인,OC086,CNY,BNP Paribas Factor,2025-03-07,1226112.97,0.0312,1187858.25,소구
FT0664,AR0876,중국법인,OC086,CNY,BNP Paribas Factor,2025-03-11,519621.78,0.0221,508138.14,소구
FT0665,AR0877,중국법인,OC086,CNY,신한팩토링,2025-05-25,1762860.73,0.0213,1725311.8,비소구
FT0666,AR0879,중국법인,OC086,CNY,IBK기업은행,2025-01-24,525281.71,0.041,503745.16,비소구
FT0667,AR0879,중국법인,OC086,CNY,신한팩토링,2025-01-23,348996.36,0.02,342016.43,소구
FT0668,AR0880,중국법인,OC086,CNY,HSBC Trade Finance,2025-07-13,861854.41,0.0206,844100.21,비소구
FT0669,AR0881,중국법인,OC086,CNY,HSBC Trade Finance,2025-04-27,1979650.37,0.0226,1934910.27,비소구
FT0670,AR0882,중국법인,OC086,CNY,HSBC Trade Finance,2025-05-08,1356189.33,0.0283,1317809.17,소구
FT0671,AR0883,중국법인,OC086,CNY,BNP Paribas Factor,2025-05-18,1215275.03,0.0352,1172497.35,비소구
FT0672,AR0884,중국법인,OC086,CNY,BNP Paribas Factor,2025-03-27,2345926.37,0.0282,2279771.25,소구
FT0673,AR0885,미국법인,OC087,USD,IBK기업은행,2025-05-04,58331.73,0.0305,56552.61,비소구
FT0674,AR0886,미국법인,OC087,USD,신한팩토링,2025-03-30,77098.79,0.0444,73675.6,소구
FT0675,AR0887,미국법인,OC087,USD,HSBC Trade Finance,2025-02-03,73249.44,0.0205,71747.83,비소구
FT0676,AR0888,미국법인,OC087,USD,신한팩토링,2025-06-16,76509.83,0.021,74903.12,소구
FT0677,AR0890,미국법인,OC087,USD,신한팩토링,2025-01-30,12032.35,0.0231,11754.4,소구
FT0678,AR0891,미국법인,OC087,USD,신한팩토링,2025-04-01,92582.31,0.0306,89749.29,소구
FT0679,AR0892,미국법인,OC088,USD,IBK기업은행,2025-03-03,43272.15,0.0375,41649.44,소구
FT0680,AR0893,미국법인,OC088,USD,HSBC Trade Finance,2025-08-16,30399.38,0.0176,29864.35,비소구
FT0681,AR0894,미국법인,OC088,USD,HSBC Trade Finance,2025-08-09,109112.34,0.0157,107399.28,소구
FT0682,AR0895,미국법인,OC088,USD,HSBC Trade Finance,2025-05-10,22440.19,0.0417,21504.43,소구
FT0683,AR0895,미국법인,OC088,USD,우리은행 무역금융,2025-04-30,23072.36,0.0403,22142.54,소구
FT0684,AR0896,미국법인,OC088,USD,우리은행 무역금융,2025-08-12,6930.8,0.0323,6706.94,소구
FT0685,AR0896,미국법인,OC088,USD,BNP Paribas Factor,2025-08-09,4029.61,0.0233,3935.72,소구
FT0686,AR0897,미국법인,OC088,USD,IBK기업은행,2025-07-05,90853.89,0.0264,88455.35,비소구
FT0687,AR0898,미국법인,OC088,USD,BNP Paribas Factor,2025-02-21,36898.27,0.0319,35721.22,소구
FT0688,AR0903,미국법인,OC089,USD,HSBC Trade Finance,2025-09-02,82534.94,0.0351,79637.96,소구
FT0689,AR0905,미국법인,OC089,USD,BNP Paribas Factor,2025-06-08,62094.85,0.0166,61064.08,소구
FT0690,AR0907,미국법인,OC089,USD,우리은행 무역금융,2025-05-07,4912.42,0.0305,4762.59,비소구
FT0691,AR0908,미국법인,OC089,USD,IBK기업은행,2025-07-04,82836.53,0.0206,81130.1,소구
FT0692,AR0910,미국법인,OC089,USD,IBK기업은행,2025-07-29,8100.86,0.0245,7902.39,소구
FT0693,AR0911,미국법인,OC089,USD,우리은행 무역금융,2025-04-25,51673.12,0.0256,50350.29,소구
FT0694,AR0912,미국법인,OC089,USD,BNP Paribas Factor,2025-02-04,32637.73,0.0371,31426.87,소구
FT0695,AR0913,미국법인,OC089,USD,우리은행 무역금융,2025-06-15,35021.36,0.0188,34362.96,비소구
FT0696,AR0914,미국법인,OC090,USD,HSBC Trade Finance,2025-07-04,65059.05,0.0392,62508.74,소구
FT0697,AR0915,미국법인,OC090,USD,BNP Paribas Factor,2025-05-05,59377.02,0.0168,58379.49,소구
FT0698,AR0917,미국법인,OC090,USD,BNP Paribas Factor,2025-06-09,62585.89,0.0351,60389.13,소구
FT0699,AR0918,미국법인,OC090,USD,우리은행 무역금융,2025-08-25,7337.34,0.0396,7046.78,소구
FT0700,AR0919,미국법인,OC090,USD,IBK기업은행,2025-08-09,2366.51,0.0268,2303.09,소구
FT0701,AR0921,미국법인,OC091,USD,신한팩토링,2025-01-28,55100.65,0.0186,54075.78,비소구
FT0702,AR0922,미국법인,OC091,USD,IBK기업은행,2025-07-16,60029.55,0.0417,57526.32,소구
FT0703,AR0926,미국법인,OC091,USD,HSBC Trade Finance,2025-03-23,29704.47,0.0449,28370.74,소구
FT0704,AR0926,미국법인,OC091,USD,우리은행 무역금융,2025-03-19,15887.69,0.021,15554.05,소구
FT0705,AR0927,미국법인,OC091,USD,우리은행 무역금융,2025-04-11,5107.62,0.0344,4931.92,소구
FT0706,AR0928,미국법인,OC091,USD,BNP Paribas Factor,2025-06-28,63785.76,0.023,62318.69,비소구
FT0707,AR0929,미국법인,OC092,USD,신한팩토링,2025-02-20,43268.63,0.0329,41845.09,비소구
FT0708,AR0930,미국법인,OC092,USD,BNP Paribas Factor,2025-05-18,22384.35,0.0299,21715.06,소구
FT0709,AR0930,미국법인,OC092,USD,신한팩토링,2025-05-01,11619.9,0.0216,11368.91,소구
FT0710,AR0932,미국법인,OC092,USD,HSBC Trade Finance,2025-05-29,17080.32,0.0247,16658.44,비소구
FT0711,AR0933,미국법인,OC092,USD,HSBC Trade Finance,2025-01-20,65140.46,0.0232,63629.2,비소구
FT0712,AR0934,미국법인,OC092,USD,HSBC Trade Finance,2025-08-10,10928.27,0.042,10469.28,소구
FT0713,AR0935,미국법인,OC092,USD,우리은행 무역금융,2025-03-03,58055.95,0.0193,56935.47,비소구
FT0714,AR0936,미국법인,OC092,USD,IBK기업은행,2025-06-28,8342.12,0.0304,8088.52,소구
